Task_ID,Task_Name,Priority,Deadline,Estimated_Time,Task_Type,Dependency,Employee_ID,Completion_Status,Urgency_Score
1,Task 1: Sample Task Description,Medium,2025-01-28 09:00,2 hours,Analysis,None,101,In Progress,2
2,Task 2: Sample Task Description,Low,2025-01-28 10:00,3 hours,Review,Task_ID 1,102,Completed,3
3,Task 3: Sample Task Description,High,2025-01-28 11:00,4 hours,Meeting,Task_ID 2,103,Pending,4
4,Task 4: Sample Task Description,Medium,2025-01-28 12:00,5 hours,Planning,Task_ID 3,104,In Progress,5
5,Task 5: Sample Task Description,Low,2025-01-28 13:00,1 hours,Analysis,Task_ID 4,105,Completed,6
6,Task 6: Sample Task Description,High,2025-01-28 14:00,2 hours,Review,Task_ID 5,106,Pending,7
7,Task 7: Sample Task Description,Medium,2025-01-28 15:00,3 hours,Meeting,Task_ID 6,107,In Progress,8
8,Task 8: Sample Task Description,Low,2025-01-28 16:00,4 hours,Planning,Task_ID 7,108,Completed,9
9,Task 9: Sample Task Description,High,2025-01-28 17:00,5 hours,Analysis,Task_ID 8,109,Pending,10
10,Task 10: Sample Task Description,Medium,2025-01-28 18:00,1 hours,Review,Task_ID 9,110,In Progress,1
11,Task 11: Sample Task Description,Low,2025-01-28 19:00,2 hours,Meeting,Task_ID 10,111,Completed,2
12,Task 12: Sample Task Description,High,2025-01-28 20:00,3 hours,Planning,Task_ID 11,112,Pending,3
13,Task 13: Sample Task Description,Medium,2025-01-28 21:00,4 hours,Analysis,Task_ID 12,113,In Progress,4
14,Task 14: Sample Task Description,Low,2025-01-28 22:00,5 hours,Review,Task_ID 13,114,Completed,5
15,Task 15: Sample Task Description,High,2025-01-28 23:00,1 hours,Meeting,Task_ID 14,115,Pending,6
16,Task 16: Sample Task Description,Medium,2025-01-29 00:00,2 hours,Planning,Task_ID 15,116,In Progress,7
17,Task 17: Sample Task Description,Low,2025-01-29 01:00,3 hours,Analysis,Task_ID 16,117,Completed,8
18,Task 18: Sample Task Description,High,2025-01-29 02:00,4 hours,Review,Task_ID 17,118,Pending,9
19,Task 19: Sample Task Description,Medium,2025-01-29 03:00,5 hours,Meeting,Task_ID 18,119,In Progress,10
20,Task 20: Sample Task Description,Low,2025-01-29 04:00,1 hours,Planning,Task_ID 19,120,Completed,1
21,Task 21: Sample Task Description,High,2025-01-29 05:00,2 hours,Analysis,Task_ID 20,121,Pending,2
22,Task 22: Sample Task Description,Medium,2025-01-29 06:00,3 hours,Review,Task_ID 21,122,In Progress,3
23,Task 23: Sample Task Description,Low,2025-01-29 07:00,4 hours,Meeting,Task_ID 22,123,Completed,4
24,Task 24: Sample Task Description,High,2025-01-29 08:00,5 hours,Planning,Task_ID 23,124,Pending,5
25,Task 25: Sample Task Description,Medium,2025-01-29 09:00,1 hours,Analysis,Task_ID 24,125,In Progress,6
26,Task 26: Sample Task Description,Low,2025-01-29 10:00,2 hours,Review,Task_ID 25,126,Completed,7
27,Task 27: Sample Task Description,High,2025-01-29 11:00,3 hours,Meeting,Task_ID 26,127,Pending,8
28,Task 28: Sample Task Description,Medium,2025-01-29 12:00,4 hours,Planning,Task_ID 27,128,In Progress,9
29,Task 29: Sample Task Description,Low,2025-01-29 13:00,5 hours,Analysis,Task_ID 28,129,Completed,10
30,Task 30: Sample Task Description,High,2025-01-29 14:00,1 hours,Review,Task_ID 29,130,Pending,1
31,Task 31: Sample Task Description,Medium,2025-01-29 15:00,2 hours,Meeting,Task_ID 30,131,In Progress,2
32,Task 32: Sample Task Description,Low,2025-01-29 16:00,3 hours,Planning,Task_ID 31,132,Completed,3
33,Task 33: Sample Task Description,High,2025-01-29 17:00,4 hours,Analysis,Task_ID 32,133,Pending,4
34,Task 34: Sample Task Description,Medium,2025-01-29 18:00,5 hours,Review,Task_ID 33,134,In Progress,5
35,Task 35: Sample Task Description,Low,2025-01-29 19:00,1 hours,Meeting,Task_ID 34,135,Completed,6
36,Task 36: Sample Task Description,High,2025-01-29 20:00,2 hours,Planning,Task_ID 35,136,Pending,7
37,Task 37: Sample Task Description,Medium,2025-01-29 21:00,3 hours,Analysis,Task_ID 36,137,In Progress,8
38,Task 38: Sample Task Description,Low,2025-01-29 22:00,4 hours,Review,Task_ID 37,138,Completed,9
39,Task 39: Sample Task Description,High,2025-01-29 23:00,5 hours,Meeting,Task_ID 38,139,Pending,10
40,Task 40: Sample Task Description,Medium,2025-01-30 00:00,1 hours,Planning,Task_ID 39,140,In Progress,1
41,Task 41: Sample Task Description,Low,2025-01-30 01:00,2 hours,Analysis,Task_ID 40,141,Completed,2
42,Task 42: Sample Task Description,High,2025-01-30 02:00,3 hours,Review,Task_ID 41,142,Pending,3
43,Task 43: Sample Task Description,Medium,2025-01-30 03:00,4 hours,Meeting,Task_ID 42,143,In Progress,4
44,Task 44: Sample Task Description,Low,2025-01-30 04:00,5 hours,Planning,Task_ID 43,144,Completed,5
45,Task 45: Sample Task Description,High,2025-01-30 05:00,1 hours,Analysis,Task_ID 44,145,Pending,6
46,Task 46: Sample Task Description,Medium,2025-01-30 06:00,2 hours,Review,Task_ID 45,146,In Progress,7
